Tavg,Tmed,Tmax,Tmin,Load
43,43,60,31,1384494
42,42,58,29,1392822
41,41,57,31,1407887
41,41,56,30,1438658
40,41,53,29,1484046
39,39,52,29,1559169
38,39,51,28,1665253
38,39,51,28,1797826
42,43,54,28,1871982
46,45,58,27,1808095
51,52,64,37,1664677
55,56,65,41,1496108
55,58,67,29,1336017
57,58,70,34,1205316
59,59,70,49,1119717
59,58,71,50,1089214
58,57,69,47,1134721
54,54,67,43,1272858
53,54,64,42,1439264
52,53,62,41,1451540
51,52,61,41,1421758
50,52,60,41,1353192
50,52,68,42,1243541
50,51,59,41,1131533
49,51,57,39,1059968
48,50,56,39,1037745
48,51,56,38,1040224
49,51,57,38,1061350
48,50,58,37,1111704
49,51,59,37,1228713
49,52,57,36,1372016
51,52,63,36,1437581
52,54,68,36,1453318
54,56,72,35,1464511
56,58,72,39,1461564
56,61,70,39,1446414
56,59,68,39,1430400
55,59,69,38,1400935
55,59,69,38,1348645
55,59,70,38,1306100
54,60,70,37,1334734
53,59,68,37,1480547
52,59,64,36,1627644
51,57,63,35,1618167
49,56,63,34,1574430
48,53,61,34,1509438
47,51,63,34,1418878
47,50,64,34,1314143
46,48,64,34,1243783
45,47,64,34,1232629
45,45,64,34,1253069
44,45,64,34,1291699
43,44,64,34,1361961
43,43,64,29,1509614
43,42,64,34,1699977
43,42,64,34,1808900
43,42,64,34,1836818
43,44,64,33,1860145
45,43,70,36,1854124
46,44,72,37,1811057
46,44,74,37,1777247
47,46,76,37,1760297
46,45,77,38,1754701
47,45,78,39,1780181
46,44,78,38,1872009
44,43,77,37,2007456
43,40,75,36,2196752
42,40,75,34,2231312
41,38,71,34,2260145
40,38,66,33,2202390
38,38,62,30,2106229
38,37,58,29,2002308
35,35,46,27,1948510
34,34,45,26,1969377
33,32,45,27,2012981
32,32,42,25,2079779
31,31,39,24,2175967
30,31,38,23,2324188
29,30,37,23,2449261
29,30,37,22,2545548
32,32,40,26,2492598
35,35,45,30,2400051
39,39,48,34,2215034
42,43,50,38,1983061
45,46,51,38,1754304
48,48,52,44,1571357
48,49,53,40,1435767
49,50,54,39,1375275
48,49,53,40,1429165
44,45,50,39,1665978
40,40,48,32,1998735
37,37,46,30,2137847
36,37,46,27,2229186
34,32,46,26,2283298
33,32,50,24,2281377
34,35,53,24,2234492
33,34,56,22,2206609
33,32,70,22,2231348
32,32,69,21,2268887
32,30,68,20,2315902
32,34,67,19,2374934
32,32,66,19,2447119
32,32,65,19,2454500
33,33,64,20,2564974
38,37,63,20,2588347
44,45,62,19,2445946
50,51,61,32,2118183
54,54,63,37,1794081
56,56,66,42,1539011
58,58,68,45,1356704
59,60,67,48,1240281
59,60,67,49,1165297
59,60,68,50,1179711
54,56,66,43,1313806
52,54,63,37,1500588
50,52,62,36,1539604
49,51,61,37,1538265
49,50,62,36,1506227
51,51,62,35,1432499
51,52,61,34,1328303
51,53,62,30,1229762
54,54,71,29,1174651
55,56,71,28,1138770
56,57,71,27,1104162
58,59,71,25,1079453
59,61,70,25,1068708
59,62,66,24,1085171
